"Date","HourStart","HourEnd","UserId","RegionId","Name","ImWh","ExWh","IndVarh","CapVarh","IndPenalty","CapPenalty"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET ŞİŞİRME 402 YENİ","9.114","6.745","0","1.106","0","12.1351766513057"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET ŞİŞİRME 404","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET ŞİŞİRME 405 YENİ","0.24675","0","0.2995","0","121.377912867275","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Plener2 YENİ","11.558","23.194","7.921","0","68.5326181000173","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Pompalar Termokar Plener","27.8168498435871","0","17.9205140771637","0","64.4232333205592","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","1 Kule Pompa","4.01517240180744","6.62536496350365","16.4094773722628","0.00118873826903","408.686744431597","0.029606157596001"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","2 Çiller Pompa","62.7123684393465","0","28.3710982273201","0","45.2400362693362","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ANA GİRİŞ","681.49365464025","0.003995898505388","2.86554529023288","5.5868616614529","0.420480113163425","0.819796578209098"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Çiller Plener","0","87.5486305179006","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Çiller Termokar 1 TERMOKONVEKTÖR","19.9796980882864","21.1820840458811","0","27.5936136253041","0","138.108261212824"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Çiller Termokar 2","14.8054554744526","30.7814097323601","7.42737441779632","0","50.1664702623473","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Çiller Termokar 3","0","0","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 171","0.023581108829569","0.000024640657084","0.000443531827515","0.000443531827515","1.88087774294671","1.88087774294671"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 172","19.104","0.001","2.62525","0.481","13.7418865159129","2.517797319933"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 173","23.735","0","5.228","0.043","22.0265430798399","0.1811670528755"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 174","25.588","0.001","4.61","0.022","18.0162576207597","0.085977802094732"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 175","27.328","0","4.668","0.078","17.0813817330211","0.285421545667447"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 176 YENİ","0","27.271","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 177 YENİ","2.287","13.302","6.004","0","262.527328377788","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 178 YENİ","23.082","0","3.55","0.143","15.3799497443896","0.61953036998527"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 179 YENİ","7.676","7.096","2.444","0.051","31.8394997394476","0.66440854611777"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","DPH70 271 YENİ","9.261","0","0","13.944","0","150.566893424036"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 206","1.865","0","0","2.6","0","139.41018766756"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 207","4.97425","0","0","3.7215","0","74.8152987887621"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 208","0","0","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 209","0","0","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 210 YENİ","0","8.47871018421967","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 212","4.428","0","0","7.354","0","166.079494128275"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 213","2.00938586768272","0.00335954277797","0.000002597852442","2.16546795981988","0.000129285891961","107.767651532115"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","ENJEKSİYON 301","6.42175","0","1.22425","0.637","19.0641180363608","9.91941448981975"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KALIPHANE","0.163069794925269","0.048009245742093","0","0.133106708376781","0","81.6256060405182"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Karıştırıcı","13.2513416058394","0.001","0.285412374000695","0.605401181786583","2.15383756973651","4.56860293692681"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","Kırma","1.32711080987139","0.831071810914147","2.2140359402155","0","166.831279177815","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KOLONYA 131","18.13575","0.001","12.795","0","70.5512592531326","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KOLONYA 132","9.50675","8.7705","13.6425","0.00125","143.503300286638","0.013148552344387"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KOLONYA 133 BOŞ","0","0","0","0","0","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KOLONYA 134","14.143","0","8.757","0","61.9175563883193","0"
"2026-06-16","2026-06-16 02:00:00","2026-06-16 03:00:00","8","1","KOLONYA 135","15.58175","0.00025","10.83925","0","69.5637524668282","0"
